customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7924-KKKKK,Female,0,No,No,16,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No,One year,Yes,Credit card (automatic),50.96,824.65,No
5552-EEEEE,Female,1,No,Yes,21,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Mailed check,54.53,1145.96,No
4527-YYYYY,Female,0,No,Yes,45,Yes,No,No,No internet service,No internet service,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),77.42,3492.55,No
6514-DDDDD,Male,1,Yes,Yes,62,No,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,97.64,6066.13,No
2519-MMMMM,Female,0,Yes,Yes,31,Yes,No phone service,No,Yes,No internet service,No,No,No,No internet service,Two year,Yes,Credit card (automatic),41.45,1291.67,No
2584-LLLLL,Male,1,Yes,No,42,Yes,No,No,No internet service,No internet service,No,No,No internet service,No,Two year,No,Credit card (automatic),38.93,1633.25,No
6635-TTTTT,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,No,Mailed check,40.55,484.98,No
5333-ZZZZZ,Female,0,Yes,No,65,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,56.6,3657.94,No
1711-XXXXX,Female,0,No,Yes,3,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,72.03,220.37,Yes
8527-RRRRR,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.6,186.89,No
3045-MMMMM,Female,0,No,Yes,51,Yes,No phone service,No,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,96.67,4917.79,Yes
2291-RRRRR,Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,111.38,1780.51,Yes
5803-UUUUU,Female,1,Yes,No,3,Yes,No,No,No,No internet service,Yes,Yes,Yes,No internet service,One year,Yes,Electronic check,103.02,307.29,No
6925-SSSSS,Female,0,No,No,24,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,21.99,532.4,No
4150-WWWWW,Male,0,Yes,No,13,Yes,Yes,DSL,No,No,No internet service,No internet service,No internet service,Yes,One year,No,Electronic check,70.96,923.95,No
2139-BBBBB,Male,0,No,Yes,2,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No,Yes,One year,Yes,Mailed check,100.06,191.0,No
4733-YYYYY,Female,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,52.83,3767.04,No
5741-CCCCC,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),108.4,2259.72,Yes
4814-DDDDD,Female,0,No,No,19,No,No phone service,DSL,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Mailed check,107.38,2034.16,No
7227-IIIII,Male,0,Yes,No,47,Yes,No,No,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,32.49,1513.71,No
8428-UUUUU,Female,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,Two year,Yes,Electronic check,67.86,1496.48,No
6977-FFFFF,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,20.83,692.03,Yes
7065-LLLLL,Male,0,Yes,No,32,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),46.58,1489.39,No
4432-VVVVV,Male,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),99.84,6377.63,No
5374-WWWWW,Male,0,No,No,39,Yes,Yes,No,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,116.25,4524.42,No
2169-TTTTT,Male,0,No,Yes,72,Yes,No phone service,No,No internet service,No,No,No,No,No,One year,Yes,Bank transfer (automatic),110.04,7931.8,No
3803-RRRRR,Female,0,Yes,Yes,42,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No,One year,No,Electronic check,22.53,945.46,No
5010-FFFFF,Female,0,No,No,9,Yes,Yes,No,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,111.39,997.96,Yes
8573-MMMMM,Female,1,Yes,Yes,25,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,100.93,2516.28,Yes
5422-UUUUU,Female,0,No,Yes,2,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,Yes,Two year,No,Electronic check,105.45,209.7,Yes
4598-VVVVV,Female,1,No,No,19,No,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,110.19,2099.3,No
6313-YYYYY,Male,0,Yes,No,20,Yes,No phone service,No,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),67.31,1343.75,No
1916-HHHHH,Female,0,Yes,No,70,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,39.48,2767.93,No
1525-ZZZZZ,Female,0,Yes,No,17,Yes,No phone service,No,Yes,Yes,Yes,No,No internet service,Yes,One year,Yes,Electronic check,20.36,330.49,No
6168-MMMMM,Male,1,Yes,No,68,Yes,No phone service,No,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),20.62,1413.5,Yes
5386-CCCCC,Female,0,Yes,No,3,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),82.82,248.08,No
4456-SSSSS,Male,1,No,Yes,51,Yes,No,DSL,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,52.15,2649.84,No
6155-GGGGG,Female,1,No,No,26,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,68.09,1774.75,Yes
9179-MMMMM,Male,0,Yes,Yes,56,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,No,One year,Yes,Credit card (automatic),31.45,1763.01,No
8517-EEEEE,Female,0,Yes,No,64,Yes,No phone service,No,No internet service,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),116.29,7431.33,No
5339-EEEEE,Female,0,Yes,No,8,Yes,No,DSL,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.31,249.26,Yes
5040-XXXXX,Male,0,No,Yes,37,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,No,Two year,No,Electronic check,62.95,2323.97,No
9830-IIIII,Male,1,Yes,No,27,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Two year,No,Electronic check,62.81,1683.19,No
8019-SSSSS,Male,1,Yes,No,45,Yes,No phone service,DSL,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,19.12,856.18,No
7543-LLLLL,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No internet service,One year,Yes,Mailed check,85.36,330.99,Yes
4593-EEEEE,Male,0,No,No,37,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,One year,No,Bank transfer (automatic),72.34,2664.35,No
9348-PPPPP,Male,0,No,Yes,71,Yes,Yes,No,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,68.25,4850.72,Yes
2489-YYYYY,Male,0,No,No,33,Yes,No,No,No,No,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),100.47,3318.57,No
1771-DDDDD,Male,1,Yes,No,31,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),42.48,1314.31,No
3504-UUUUU,Female,0,No,Yes,55,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,104.79,5741.03,No
3621-ZZZZZ,Female,0,No,No,12,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,105.16,1261.21,Yes
7916-TTTTT,Male,0,Yes,Yes,11,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),101.35,1122.45,No
2040-MMMMM,Female,0,Yes,Yes,72,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,52.56,3796.43,No
7252-TTTTT,Female,0,Yes,Yes,32,No,No phone service,No,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,34.59,1117.06,No
8668-QQQQQ,Female,0,No,No,57,Yes,No,DSL,No,No internet service,Yes,No,Yes,No,One year,Yes,Credit card (automatic),66.01,3750.67,No
5119-RRRRR,Female,0,Yes,No,38,Yes,No,No,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),44.36,1677.9,No
1188-VVVVV,Male,0,No,Yes,60,No,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),23.49,1407.73,Yes
2876-VVVVV,Female,1,No,No,19,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),46.34,879.69,No
9797-YYYYY,Male,0,No,No,56,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,One year,No,Mailed check,65.4,3662.7,No
5371-YYYYY,Female,0,Yes,No,14,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),29.58,425.32,No
6573-DDDDD,Female,0,No,Yes,33,Yes,No,No,No,Yes,No,No,Yes,No internet service,Two year,No,Bank transfer (automatic),113.16,3736.23,No
5808-NNNNN,Female,0,Yes,No,10,Yes,No,No,No internet service,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,84.19,854.04,No
3591-OOOOO,Male,0,Yes,Yes,64,No,No,No,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),31.95,2037.06,Yes
1053-XXXXX,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No,Yes,One year,No,Mailed check,99.86,6387.15,No
5315-QQQQQ,Male,0,No,No,62,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),111.52,6910.0,No
3927-QQQQQ,Female,0,No,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),44.66,3036.32,No
2743-UUUUU,Male,0,No,No,43,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),32.65,1390.39,No
5889-UUUUU,Female,0,Yes,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,Yes,Mailed check,50.66,3008.15,No
9317-TTTTT,Male,1,No,No,52,Yes,No,No,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,101.89,5299.24,No
4258-EEEEE,Male,0,No,Yes,19,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,35.85,669.72,No
7126-YYYYY,Female,0,No,No,21,Yes,No,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,96.57,2017.1,No
3646-RRRRR,Male,0,No,No,22,No,Yes,DSL,Yes,No,No,Yes,Yes,No internet service,One year,Yes,Electronic check,90.23,1985.86,No
9689-AAAAA,Female,0,No,No,9,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,No,One year,Yes,Mailed check,83.71,759.31,Yes
6310-PPPPP,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,61.8,565.6,No
1319-DDDDD,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),55.11,1488.44,No
6947-ZZZZZ,Female,1,Yes,Yes,17,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,26.82,462.04,No
6038-HHHHH,Female,0,Yes,No,44,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),54.16,2386.44,Yes
1949-HHHHH,Female,0,No,Yes,45,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),78.74,3542.25,No
2290-CCCCC,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),108.52,864.75,Yes
8962-CCCCC,Female,0,No,Yes,18,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),101.98,1835.91,No
9727-YYYYY,Female,0,Yes,Yes,33,No,Yes,No,No,No internet service,Yes,Yes,No,No,Month-to-month,No,Electronic check,21.49,708.01,No
3060-EEEEE,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),32.21,32.15,No
8787-RRRRR,Female,0,Yes,Yes,6,No,Yes,No,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,103.52,625.61,No
3705-IIIII,Male,1,No,Yes,41,Yes,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,112.65,4634.85,Yes
9645-TTTTT,Male,0,No,Yes,55,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),23.86,1302.26,Yes
7932-GGGGG,Female,0,Yes,Yes,5,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),88.73,444.6,No
9835-YYYYY,Female,0,No,Yes,59,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,55.01,3249.11,No
4295-WWWWW,Female,0,Yes,No,18,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),54.86,983.77,No
6107-MMMMM,Female,0,Yes,No,49,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,82.84,4069.96,No
7118-OOOOO,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),99.68,6474.34,Yes
9479-OOOOO,Female,0,No,No,54,No,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,45.87,2483.73,Yes
2982-HHHHH,Female,1,Yes,No,61,Yes,No,No,No internet service,No,No,No internet service,No internet service,No,One year,Yes,Mailed check,89.14,5450.14,Yes
4681-CCCCC,Female,0,Yes,Yes,8,Yes,Yes,No,No,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),82.16,661.26,No
6539-AAAAA,Male,0,Yes,Yes,3,Yes,No,No,No,Yes,No internet service,No internet service,No,No internet service,One year,No,Mailed check,70.24,208.96,No
4770-SSSSS,Female,1,No,Yes,25,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),78.79,1974.56,No
4608-AAAAA,Male,0,Yes,No,69,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),20.06,1380.17,No
2163-WWWWW,Female,0,No,Yes,55,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),18.66,1019.21,No
1964-HHHHH,Female,0,Yes,No,40,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),73.57,2946.46,No
2104-BBBBB,Male,0,No,Yes,50,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,No,Electronic check,70.92,3553.5,Yes
6413-CCCCC,Female,0,Yes,No,33,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),25.42,839.82,No
9423-HHHHH,Male,1,Yes,No,18,Yes,No,DSL,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),67.7,1224.19,No
5562-VVVVV,Female,0,No,Yes,57,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.38,5402.72,Yes
8953-GGGGG,Female,0,No,Yes,16,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),72.64,1174.44,Yes
9834-EEEEE,Male,0,Yes,No,38,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,70.27,2664.61,No
8744-HHHHH,Female,0,No,No,41,Yes,No phone service,No,No,No internet service,No internet service,No,No,No internet service,Two year,Yes,Credit card (automatic),90.4,3708.25,No
8749-ZZZZZ,Male,0,Yes,Yes,7,Yes,No phone service,No,No,Yes,No internet service,No,No,No,Two year,No,Mailed check,35.52,251.66,Yes
7669-GGGGG,Female,0,Yes,Yes,53,Yes,No,No,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,64.23,3395.79,No
2545-DDDDD,Male,1,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Two year,No,Bank transfer (automatic),33.13,2093.35,No
8062-LLLLL,Male,0,No,Yes,32,No,No,DSL,No,No internet service,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),70.9,2261.24,No
7939-NNNNN,Female,0,Yes,No,38,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No,Yes,Two year,Yes,Electronic check,77.74,2960.85,Yes
8651-XXXXX,Female,0,No,Yes,22,Yes,No phone service,No,Yes,No,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),30.48,689.89,No
1887-VVVVV,Male,0,Yes,Yes,16,No,No,No,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),25.84,412.18,No
2612-BBBBB,Female,0,No,Yes,52,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No,No,One year,No,Mailed check,35.01,1824.89,No
7596-XXXXX,Female,0,No,No,29,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,77.18,2241.14,No
6559-ZZZZZ,Female,0,Yes,Yes,16,No,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),37.31,587.62,No
2790-HHHHH,Male,0,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,No,No internet service,One year,No,Electronic check,45.91,773.11,No
4139-GGGGG,Male,0,Yes,Yes,64,No,No phone service,No,No internet service,No internet service,No,No,No,No internet service,One year,No,Credit card (automatic),88.86,5690.63,No
9786-OOOOO,Male,0,Yes,No,13,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),43.21,563.04,No
3296-NNNNN,Male,1,Yes,No,72,No,No,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),58.2,4189.07,No
4006-IIIII,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),111.6,6258.92,Yes
8579-HHHHH,Male,0,Yes,No,5,No,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),101.16,510.46,No
2235-OOOOO,Male,0,No,No,12,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,43.92,549.08,No
2604-BBBBB,Male,1,Yes,No,41,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),78.31,3201.43,No
9856-AAAAA,Male,1,No,No,3,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),85.16,251.48,Yes
2528-YYYYY,Female,0,No,Yes,33,Yes,No phone service,No,No internet service,Yes,No,No internet service,Yes,No,One year,No,Electronic check,108.72,3602.29,Yes
4872-FFFFF,Male,1,Yes,Yes,50,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,One year,Yes,Credit card (automatic),73.27,3680.38,Yes
7658-PPPPP,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,No,One year,No,Electronic check,74.66,4172.37,No
8886-GGGGG,Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No,No internet service,Yes,No,Two year,No,Electronic check,107.54,963.97,Yes
7570-BBBBB,Female,0,No,No,50,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,One year,No,Electronic check,23.72,1184.21,No
3697-MMMMM,Male,0,No,Yes,29,Yes,No,No,No,No internet service,No,Yes,No,No internet service,One year,Yes,Electronic check,81.38,2374.11,No
1035-MMMMM,Male,0,No,Yes,39,No,No,No,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),60.12,2343.32,No
5345-ZZZZZ,Male,1,Yes,No,45,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),109.68,4933.9,Yes
8454-JJJJJ,Male,0,No,Yes,17,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No,Two year,No,Bank transfer (automatic),114.78,1948.62,No
7930-WWWWW,Female,0,Yes,Yes,56,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),35.36,1981.25,No
8973-EEEEE,Male,0,No,No,46,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,Two year,No,Electronic check,46.54,2144.27,No
4111-JJJJJ,Male,0,No,Yes,67,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,45.73,3082.69,No
4566-BBBBB,Male,0,No,No,69,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,28.36,1971.48,No
9883-BBBBB,Male,0,No,Yes,14,Yes,No phone service,No,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,66.79,924.24,No
6138-BBBBB,Male,0,Yes,No,67,Yes,No phone service,No,No,No,Yes,No,No internet service,No,Two year,No,Bank transfer (automatic),69.81,4675.39,No
1821-SSSSS,Female,1,Yes,No,23,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),75.83,1744.29,No
8811-QQQQQ,Male,0,No,No,61,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),84.88,5173.24,Yes
9701-FFFFF,Female,0,No,No,23,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,Yes,One year,No,Electronic check,24.57,575.14,No
1931-QQQQQ,Male,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,80.81,2195.35,No
2312-FFFFF,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.09,5940.06,Yes
2122-TTTTT,Male,0,Yes,Yes,10,Yes,No,No,No,Yes,Yes,Yes,Yes,No internet service,One year,No,Electronic check,63.98,639.92,No
2113-VVVVV,Male,0,Yes,Yes,16,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),28.97,472.49,No
4853-MMMMM,Female,1,No,No,41,Yes,Yes,No,Yes,No,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,26.89,1113.17,No
2964-SSSSS,Female,0,No,Yes,55,Yes,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),46.57,2556.31,No
5033-SSSSS,Female,1,Yes,No,61,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,93.88,5731.46,No
1651-TTTTT,Male,1,Yes,No,49,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,One year,Yes,Mailed check,44.48,2172.59,No
